,0,1,2
798,7.73,204.13,1.0
799,6.68,148.56,1.0
800,18.32,192.9,1.0
801,23.87,122.46,1.0
802,2.24,334.84,1.0
803,1.15,290.08,1.0
804,11.83,242.42,1.0
805,10.17,176.76,1.0
806,12.02,268.6,1.0
807,8.19,211.71,1.0
808,31.65,245.1,1.0
809,31.63,169.98,1.0
810,9.6,179.91,1.0
811,3.76,170.54,1.0
812,17.64,185.1,1.0
813,14.95,135.61,1.0
814,30.83,183.44,1.0
815,32.2,125.35,1.0
816,81.66,167.04,1.0
817,75.91,118.67,1.0
818,19.78,225.65,1.0
819,31.25,134.33,1.0
820,46.15,214.34,1.0
821,52.35,142.51,1.0
822,2.07,405.61,1.0
823,1.67,301.86,1.0
824,9.83,304.04,1.0
825,17.91,172.59,1.0
826,2.39,411.67,1.0
827,1.4,340.68,1.0
828,7.8,349.45,1.0
829,2.69,345.38,1.0
830,10.73,201.75,1.0
831,6.83,162.59,1.0
832,25.69,189.99,1.0
833,24.73,133.42,1.0
834,1.97,404.88,1.0
835,1.23,328.05,1.0
836,18.22,242.86,1.0
837,4.24,273.76,1.0
838,1.77,460.72,1.0
839,0.85,408.0,1.0
840,11.88,307.48,1.0
841,15.01,197.22,1.0
842,13.41,330.35,1.0
843,7.41,279.13,1.0
844,36.46,298.18,1.0
845,48.43,188.07,1.0
846,3.15,441.15,1.0
847,2.33,338.08,1.0
848,22.69,287.87,1.0
849,7.68,286.38,1.0
850,476.59,28.11,1.0
851,203.02,47.03,1.0
852,50.31,47.45,1.0
853,84.52,92.87,2.0
854,15.04,187.58,2.0
855,23.11,115.64,1.0
856,113.27,69.96,2.0
857,116.25,76.35,1.0
858,22.02,200.5,2.0
859,65.37,201.63,2.0
860,95.51,74.98,1.0
861,116.54,58.22,1.0
862,142.18,48.38,1.0
863,156.94,72.73,1.0
864,192.23,56.41,1.0
865,34.92,88.43,2.0
866,227.21,70.76,1.0
867,38.78,105.86,2.0
868,45.58,89.07,2.0
869,30.75,86.83,1.0
870,35.48,68.7,1.0
871,47.06,55.51,1.0
872,53.6,106.32,2.0
873,27.83,165.28,1.0
874,35.74,126.19,1.0
875,14.73,150.56,2.0
876,15.06,232.17,2.0
877,17.19,184.36,2.0
878,19.84,156.06,2.0
879,19.99,232.54,2.0
880,23.63,182.51,2.0
881,26.23,156.49,2.0
882,9.23,189.54,1.0
883,10.44,150.92,1.0
884,12.69,125.6,1.0
885,31.17,186.14,2.0
886,24.57,245.03,2.0
887,29.29,191.78,2.0
888,30.63,167.75,2.0
889,36.66,245.48,2.0
890,39.87,198.08,2.0
891,43.1,171.37,2.0
892,48.27,246.51,2.0
893,53.87,197.21,2.0
894,55.68,173.18,2.0
895,45.91,157.91,1.0
896,13.46,197.24,2.0
897,16.58,163.39,2.0
898,71.45,200.8,2.0
899,68.81,98.57,1.0
900,81.49,77.31,1.0
901,102.49,63.59,1.0
902,118.63,94.1,1.0
903,140.85,73.75,1.0
904,165.88,62.0,1.0
905,175.12,90.96,1.0
906,204.85,71.64,1.0
907,221.07,62.01,1.0
908,23.89,111.31,1.0
909,29.03,86.56,1.0
910,37.01,70.88,1.0
911,269.63,73.13,1.0
912,175.76,67.17,1.0
913,210.46,52.49,1.0
914,242.47,44.46,1.0
915,293.96,64.77,1.0
916,337.18,51.35,1.0
917,373.91,44.05,1.0
918,413.23,63.64,1.0
919,461.85,50.89,1.0
920,495.63,44.13,1.0
921,73.4,71.32,1.0
922,89.14,55.47,1.0
923,104.19,46.76,1.0
924,581.38,52.72,1.0
925,95.43,94.9,1.0
926,81.02,83.17,2.0
927,88.65,71.66,2.0
928,102.42,106.1,2.0
929,115.63,84.56,2.0
930,115.17,75.18,2.0
931,136.69,106.07,2.0
932,153.53,84.68,2.0
933,154.26,75.07,2.0
934,38.36,102.06,1.0
935,48.31,78.43,1.0
936,60.79,64.5,1.0
937,179.88,89.86,2.0
938,59.96,117.85,1.0
939,78.49,89.4,1.0
940,89.37,76.02,1.0
941,105.8,111.64,1.0
942,121.48,88.47,1.0
943,131.28,76.55,1.0
944,141.53,111.52,1.0
945,155.82,89.62,1.0
946,84.32,97.65,2.0
947,20.05,134.75,1.0
948,23.52,106.04,1.0
949,35.02,82.45,1.0
950,95.46,118.04,2.0
951,136.58,77.11,1.0
952,162.83,60.35,1.0
953,185.99,51.26,1.0
954,230.51,74.14,1.0
955,268.33,58.48,1.0
956,288.93,50.66,1.0
957,324.83,72.78,1.0
958,371.3,57.76,1.0
959,72.9,88.25,2.0
960,44.8,88.74,1.0
961,53.46,69.43,1.0
962,61.83,58.73,1.0
963,74.16,110.55,2.0
964,89.44,67.57,1.0
965,107.19,52.79,1.0
966,139.53,42.93,1.0
967,169.24,62.54,1.0
968,200.47,49.05,1.0
969,313.88,37.51,1.0
970,273.68,58.64,1.0
971,381.39,43.57,1.0
972,316.77,41.15,1.0
973,31.55,75.91,1.0
974,35.71,60.44,1.0
975,48.99,48.3,1.0
976,372.89,49.11,1.0
977,142.47,48.57,1.0
978,195.98,36.24,1.0
979,256.82,29.4,1.0
980,292.62,43.74,1.0
981,367.0,33.65,1.0
982,425.03,28.45,1.0
983,453.02,41.61,1.0
984,564.77,32.08,1.0
985,621.65,27.59,1.0
986,44.94,56.63,1.0
987,54.85,43.97,1.0
988,74.24,35.29,1.0
989,721.53,33.08,1.0
990,304.9283807,39.34399717,2.0
991,30.20730503,94.48617909,2.0
992,65.64337035,73.95377562,1.0
993,60.65088757,85.57289048,1.0
